,Nº de producto,Estado,Disponible para la venta,Disponible para la compra,Disponible para integrar otros productos,Compuesto por otros productos,Rubro,Nombre,codigo,Código universal de producto (UPC),Código de proveedor,Stock actual,Stock ideal,Stock mínimo,Unidad,Alicuota de IVA,Proveedor,Costo ($),Utilidad (%),Precio ($),Unnamed: 20,Unnamed: 21,Unnamed: 22,Precio Final ($),Controla stock,Stock negativo,Mostrar en tienda,Nº de publicación en MercadoLibre,Nº de publicación adicional en MercadoLibre,Descripción,Descripción para la tienda,Observaciones Internas
72,73,Habilitado,SI,SI,NO,NO,,"CURVA RHH a 90    3/4"" PP ",CHH9034,',',0,0,0,unidad,0.21,CAVALLFER,0,0,446.2809917,537.761268,,540.0,540,SI,SI,NO,0.0,0.0,,,
73,74,Habilitado,SI,SI,NO,NO,,"CURVA RHH a 90   1"" PP ",CHH901,',',0,0,0,unidad,0.21,CAVALLFER,0,0,735.5371901,890.0516789999999,,890.0,890,SI,SI,NO,0.0,0.0,,,
74,75,Habilitado,SI,SI,NO,NO,,"CURVA RMH a 45     1/2"" PP",CMH4512,',',0,0,0,unidad,0.21,CAVALLFER,0,0,314.0495868,377.8595865,,380.0,380,SI,SI,NO,0.0,0.0,,,
75,76,Habilitado,SI,SI,NO,NO,,"CURVA RMH a 45    3/4"" PP",CMH4534,',',0,0,0,unidad,0.21,CAVALLFER,0,0,446.2809917,537.761268,,540.0,540,SI,SI,NO,0.0,0.0,,,
76,77,Habilitado,SI,SI,NO,NO,,"CURVA RMH a 45   1"" PP",CMH451,',',0,0,0,unidad,0.21,CAVALLFER,0,0,735.5371901,890.0516789999999,,890.0,890,SI,SI,NO,0.0,0.0,,,
77,78,Habilitado,SI,SI,NO,NO,,"CURVA RMH a 90     1/2"" PP",CMH9012,',',0,0,0,unidad,0.21,CAVALLFER,0,0,314.0495868,377.8595865,,380.0,380,SI,SI,NO,0.0,0.0,,,
78,79,Habilitado,SI,SI,NO,NO,,"CURVA RMH a 90    3/4"" PP",CMH9034,',',0,0,0,unidad,0.21,CAVALLFER,0,0,446.2809917,537.761268,,540.0,540,SI,SI,NO,0.0,0.0,,,
79,80,Habilitado,SI,SI,NO,NO,,"CURVA RMH a 90   1"" PP",CMH901,',',0,0,0,unidad,0.21,CAVALLFER,0,0,735.5371901,890.0516789999999,,890.0,890,SI,SI,NO,0.0,0.0,,,
80,81,Habilitado,SI,SI,NO,NO,,"ENTRE ROSCA REDUCCION  3/4"" a 1/2"" PP",ERR3412,',',0,0,0,unidad,0.21,CAVALLFER,0,0,123.9669421,150.17173875,,150.0,150,SI,SI,NO,0.0,0.0,,,
81,82,Habilitado,SI,SI,NO,NO,,"ENTRE ROSCA REDUCCION 1"" a 1/2"" PP",ERR112,',',0,0,0,unidad,0.21,CAVALLFER,0,0,148.7603306,182.64081824999997,,180.0,180,SI,SI,NO,0.0,0.0,,,
