,Unnamed: 0,codigo,detalle,LISTA,COSTO,COSTO + IVA,VENTA
233,,CC110R,CAÑO CAMARA  110 REF,2460.84,#REF!,#REF!,#REF!
234,,CHH4090R,CODO HH 40 a 90 REF,181.73,#REF!,#REF!,#REF!
235,,CHH4090S,CODO HH 40 a 90 STD,133.53,#REF!,#REF!,#REF!
236,,CHH5090R,CODO HH 50 a 90 REF,266.97,#REF!,#REF!,#REF!
237,,CHH5090S,CODO HH 50 a 90 STD,208.65,#REF!,#REF!,#REF!
238,,CMHCBS,CODO MH  100 a 90 CON BASE STD,908.58,#REF!,#REF!,#REF!
239,,CMH1090S,CODO MH  100 a 90 STD,613.01,#REF!,#REF!,#REF!
240,,CMHCBR,CODO MH  110 a 90 CON BASE REF,1513.89,#REF!,#REF!,#REF!
241,,CMH1190R,CODO MH  110 a 90 REF,996.22,#REF!,#REF!,#REF!
242,,CMH6090S,CODO MH 60 a 90 STD,274.14,#REF!,#REF!,#REF!
243,,CMH6390R,CODO MH 63 a 90 REF,364.58,#REF!,#REF!,#REF!
244,,CMHAS,CODO MH CON ACOMETIDA 100 STD,1902.71,#REF!,#REF!,#REF!
245,,CU100S,CUPLA  100 STD,628.07,#REF!,#REF!,#REF!
246,,CU110R,CUPLA  110 REF,704.17,#REF!,#REF!,#REF!
247,,CU40R,CUPLA 40 REF,193.76,#REF!,#REF!,#REF!
248,,CU40S,CUPLA 40 STD,164.76,#REF!,#REF!,#REF!
249,,CU50R,CUPLA 50 REF,243.62,#REF!,#REF!,#REF!
250,,CU50S,CUPLA 50 STD,175.5,#REF!,#REF!,#REF!
251,,CU60S,CUPLA 60 STD,227.94,#REF!,#REF!,#REF!
252,,CU63R,CUPLA 63 REF,350.68,#REF!,#REF!,#REF!
253,,CU4045,CURVA HH 40 a 45 REF,308.36,#REF!,#REF!,#REF!
254,,CU1045S,CURVA MH  100 a 45 STD,737.36,#REF!,#REF!,#REF!
255,,CU1090S,CURVA MH  100 a 90 STD,1282.79,#REF!,#REF!,#REF!
256,,CU1145CR,CURVA MH  110 a 45 CORTA REF,1382.86,#REF!,#REF!,#REF!
257,,CU11045R,CURVA MH  110 a 45 REF,1721.6,#REF!,#REF!,#REF!
258,,CU11090R,CURVA MH  110 a 90 REF,1601.57,#REF!,#REF!,#REF!
259,,CU4045S,CURVA MH 40 a 45 STD,229.85,#REF!,#REF!,#REF!
260,,CU4090R,CURVA MH 40 a 90 REF,252.71,#REF!,#REF!,#REF!
261,,CU4090S,CURVA MH 40 a 90 STD,213.06,#REF!,#REF!,#REF!
262,,CU5045R,CURVA MH 50 a 45 REF,402.28,#REF!,#REF!,#REF!
263,,CU5045S,CURVA MH 50 a 45 STD,398.98,#REF!,#REF!,#REF!
264,,CU5090R,CURVA MH 50 a 90 REF,450.53,#REF!,#REF!,#REF!
265,,CU5090S,CURVA MH 50 a 90 STD,332.95,#REF!,#REF!,#REF!
266,,CU6045S,CURVA MH 60 a 45 STD,456.68,#REF!,#REF!,#REF!
267,,CU6090S,CURVA MH 60 a 90 STD,481.67,#REF!,#REF!,#REF!
268,,CU6345R,CURVA MH 63 a 45 REF,527.87,#REF!,#REF!,#REF!
269,,CU6390R,CURVA MH 63 a 90 REF,737.76,#REF!,#REF!,#REF!
270,,EF100S,EMBUDO FRONTAL  100 STD,1476.69,#REF!,#REF!,#REF!
271,,EF110R,EMBUDO FRONTAL  110 REF,1510.33,#REF!,#REF!,#REF!
272,,EF60S,EMBUDO FRONTAL 60 STD,1476.69,#REF!,#REF!,#REF!
273,,EF63R,EMBUDO FRONTAL 63 REF,1510.33,#REF!,#REF!,#REF!
274,,EV100S,EMBUDO VERTICAL  100 STD,1688.14,#REF!,#REF!,#REF!
275,,EV110R,EMBUDO VERTICAL  110 REF,1737.51,#REF!,#REF!,#REF!
276,,EV60S,EMBUDO VERTICAL 60 STD,1688.14,#REF!,#REF!,#REF!
277,,EV63R,EMBUDO VERTICAL 63 REF,1737.51,#REF!,#REF!,#REF!
278,,PD2B,PILETA DESENGRASADORA BCA. 160 - 2 BOCAS 110/100,5501.72,#REF!,#REF!,#REF!
279,,PD3B,PILETA DESENGRASADORA BCA. 160 - 3 BOCAS 110/100,7680.66,#REF!,#REF!,#REF!
280,,PP1010,PILETA PATIO 10 x 10,1406.78,#REF!,#REF!,#REF!
281,,PP1515,PILETA PATIO 15 x 15,2580.24,#REF!,#REF!,#REF!
282,,PR1010,PORTA REJILLA 10 x 10,357.19,#REF!,#REF!,#REF!
283,,PR1515,PORTA REJILLA 15 x 15,713.22,#REF!,#REF!,#REF!
284,,R10045S,RAMAL  100 a 45 STD,1329.26,#REF!,#REF!,#REF!
