,Unnamed: 0,Unnamed: 1,Unnamed: 2
315,,BISAGRA POMELA MIXTA   140 x 75  DER - IZQ 4041,BPM140
316,,BISAGRA POMELA MIXTA   160 x 80  DER - IZQ 4051,BPM160
317,,"BISAGRA TIPO 1842    1"" 48 unid.",B18421
318,,"BISAGRA TIPO 1842   1 1/4"" 48 unid.",B1842114
319,,"BISAGRA TIPO 1842  1 1/2"" 48 unid.",B1842112
320,,"BISAGRA TIPO 1842  2"" 24 unid.",B18422
321,,"BISAGRA TIPO 1842 2 1/2"" 24 unid.",B1842212
322,,"BISAGRA 5005 BRONC. DE  25 mm x 50u. ""FUMACA""",B5B25
323,,"BISAGRA 5005 BRONC. DE  38 mm x 25u. ""FUMACA""",B5B38
324,,"BISAGRA 5005 BRONC. DE  51 mm x 25u. ""FUMACA""",B5B51
325,,"BISAGRA 5005 BRONC. DE  63 mm x 25u. ""FUMACA""",B5B63
326,,"BISAGRA 5005 BRONC. DE  76 mm x 25u. ""FUMACA""",B5B76
327,,"BOCALLAVE ""ROTTWEILER"" ESTRIADO   8 mm",BRE8
328,,"BOCALLAVE ""ROTTWEILER"" ESTRIADO   9 mm",BRE9
329,,"BOCALLAVE ""ROTTWEILER"" ESTRIADO  10 mm",BRE10
330,,"BOCALLAVE ""ROTTWEILER"" ESTRIADO  11 mm",BRE11
331,,"BOCALLAVE ""ROTTWEILER"" ESTRIADO  12 mm",BRE12
332,,"BOCALLAVE ""ROTTWEILER"" ESTRIADO  13 mm",BRE13
333,,"BOCALLAVE ""ROTTWEILER"" ESTRIADO  14 mm",BRE14
334,,"BOCALLAVE ""ROTTWEILER"" ESTRIADO  15 mm",BRE15
335,,"BOCALLAVE ""ROTTWEILER"" ESTRIADO  16 mm",BRE16
336,,"BOCALLAVE ""ROTTWEILER"" ESTRIADO  17 mm",BRE17
337,,"BOCALLAVE ""ROTTWEILER"" ESTRIADO  18 mm",BRE18
338,,"BOCALLAVE ""ROTTWEILER"" ESTRIADO  19 mm",BRE19
339,,"BOCALLAVE ""ROTTWEILER"" ESTRIADO  20 mm",BRE20
