,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,,0.45,DESCUENTO,,,,
1,,,MARGEN,,,,
2,,,,,,,
3,,codigo,detalle,LISTA,COSTO,COSTO + IVA,VENTA
205,,N1512,"NIPLE REF.   1/2"" x 15 cm.",275.57,124.0065,150.047865,247.57897724999998
206,,N2034,"NIPLE REF.  3/4"" x   20 cm.",383.93,172.76850000000002,209.04988500000002,344.93231025
207,,N634,"NIPLE REF.  3/4"" x   6 cm.",112.94,50.823,61.49583,101.46811949999999
208,,N834,"NIPLE REF.  3/4"" x  8 cm.",120.62,54.279,65.67759000000001,108.3680235
209,,N1034,"NIPLE REF.  3/4"" x 10 cm.",217.29,97.7805,118.31440500000001,195.21876825
210,,N1234,"NIPLE REF.  3/4"" x 12 cm.",259.3,116.685,141.18885,232.9616025
211,,N1534,"NIPLE REF.  3/4"" x 15 cm.",304.48,137.01600000000002,165.78936000000002,273.55244400000004
212,,N201,"NIPLE REF. 1"" x   20 cm.",510.04,229.518,277.71677999999997,458.23268699999994
213,,N61,"NIPLE REF. 1"" x   6 cm.",247.56,111.402,134.79641999999998,222.41409299999995
214,,N81,"NIPLE REF. 1"" x  8 cm.",301.77,135.7965,164.31376500000002,271.11771225
215,,N101,"NIPLE REF. 1"" x 10 cm.",304.93,137.2185,166.03438500000001,273.95673525
216,,N121,"NIPLE REF. 1"" x 12 cm.",332.03,149.4135,180.790335,298.30405275
217,,N151,"NIPLE REF. 1"" x 15 cm.",401.15,180.51749999999998,218.42617499999997,360.4031887499999
218,,TH12,"TAPA RH  REF.  1/2""",83.12,37.404,45.258840000000006,74.677086
219,,TH34,"TAPA RH REF.  3/4""",100.29,45.130500000000005,54.607905,90.10304325
220,,TH1,"TAPA RH REF. 1""",119.71,53.869499999999995,65.18209499999999,107.55045674999998
221,,TM12,"TAPON RM REF.   1/2""",62.79,28.2555,34.189155,56.412105749999995
222,,TM34,"TAPON RM REF.  3/4""",71.38,32.121,38.86641,64.1295765
223,,TM1,"TAPON RM REF. 1""",94.42,42.489000000000004,51.41169000000001,84.8292885
224,,TR3412,"TEE RED. RHHH REF.   3/4"" a 1/2""",249.36,112.212,135.77652,224.031258
225,,TR112,"TEE RED. RHHH REF.  1"" a 1/2""",770.23,346.6035,419.39023499999996,691.9938877499999
226,,TR134,"TEE RED. RHHH REF. 1"" a 3/4""",770.23,346.6035,419.39023499999996,691.9938877499999
227,,TE12,TEE RHHH  REF.   1/2,188.38,84.771,102.57291,169.24530149999998
228,,TE34,TEE RHHH  REF.  3/4,247.56,111.402,134.79641999999998,222.41409299999995
229,,TE1,"TEE RHHH  REF. 1""",416.96,187.632,227.03472,374.607288
230,,UD12,"UNION DOBLE RHH REF.   1/2"" C/JUNTA",373.59,168.1155,203.41975499999998,335.64259574999994
231,,UD34,"UNION DOBLE RHH REF.  3/4"" C/JUNTA",414.7,186.615,225.80415,372.5768475
232,,UD1,"UNION DOBLE RHH REF. 1"" C/ JUNTA",701.56,315.702,381.99942,630.299043
233,,,,0,0,0,0
234,,,ACCESORIOS DE PVC,0,0,0,0
235,,BA1010,BOCA DE ACCESO 10 x 10,2871.31,1292.0895,1563.428295,2579.6566867499996
236,,CC100S,CAÑO CAMARA  100 STD,2007.99,903.5955,1093.350555,1804.0284157499998
237,,CC110R,CAÑO CAMARA  110 REF,2460.84,1107.3780000000002,1339.92738,2210.880177
238,,CHH4090R,CODO HH 40 a 90 REF,181.73,81.7785,98.951985,163.27077524999999
239,,CHH4090S,CODO HH 40 a 90 STD,133.53,60.0885,72.707085,119.96669025
240,,CHH5090R,CODO HH 50 a 90 REF,266.97,120.13650000000001,145.36516500000002,239.85252225000002
241,,CHH5090S,CODO HH 50 a 90 STD,208.65,93.8925,113.60992499999999,187.45637624999998
242,,CMHCBS,CODO MH  100 a 90 CON BASE STD,908.58,408.86100000000005,494.72181000000006,816.2909865
243,,CMH1090S,CODO MH  100 a 90 STD,613.01,275.85450000000003,333.783945,550.74350925
244,,CMHCBR,CODO MH  110 a 90 CON BASE REF,1513.89,681.2505000000001,824.3131050000001,1360.11662325
245,,CMH1190R,CODO MH  110 a 90 REF,996.22,448.29900000000004,542.4417900000001,895.0289535000001
246,,CMH6090S,CODO MH 60 a 90 STD,274.14,123.363,149.26923,246.29422949999997
247,,CMH6390R,CODO MH 63 a 90 REF,364.58,164.061,198.51381,327.5477865
248,,CMHAS,CODO MH CON ACOMETIDA 100 STD,1902.71,856.2195,1036.025595,1709.44223175
249,,CU100S,CUPLA  100 STD,628.07,282.6315,341.98411500000003,564.27378975
250,,CU110R,CUPLA  110 REF,704.17,316.87649999999996,383.42056499999995,632.6439322499999
251,,CU40R,CUPLA 40 REF,193.76,87.192,105.50231999999998,174.07882799999996
252,,CU40S,CUPLA 40 STD,164.76,74.142,89.71181999999999,148.02450299999998
253,,CU50R,CUPLA 50 REF,243.62,109.629,132.65109,218.8742985
254,,CU50S,CUPLA 50 STD,175.5,78.97500000000001,95.55975000000001,157.6735875
